item_id,order_id,product_id,amount,status,item_timestamp
4261ef4d-3819-4a41-bdf4-59c7618b24dc,ef78adf6-ea9e-42f2-9f02-86782915e7c2,4e594d9f-d40a-48a5-8abb-0732f14ebe49,72.58,Pending,2024-04-22 14:23:46.632986
1bcde5b5-1ecb-4a62-81bd-d3f586450a56,d48434e8-3f2e-456d-8ccd-86477a3e88eb,63196dc5-8ed6-4c45-a41d-edd7bbac79f3,21.8,Shipped,2024-05-30 07:32:44.864942
cf0d65d0-7d33-466d-96cd-7452ecb8fdad,6181e475-ac1f-4a12-acd1-67f5f3bca720,74fb7255-c081-4c15-95e5-9b37ae89a85e,63.16,Shipped,2024-05-28 09:01:11.764893
9668da74-ed66-4cb9-82ee-1d0cb47ff329,5c93f294-c443-440e-9c4a-4cf3d95ef459,99ff9991-7613-4fbf-a0a7-9423aa64edde,75.24,Shipped,2024-03-19 13:46:11.280038
69b1bc34-9513-4751-8fab-2cba2a8d6b0b,2b69e4ad-7629-420c-82e3-b10521d2e169,19d17104-4db0-48f5-a2eb-aad2879421ce,55.52,Shipped,2024-04-21 10:35:48.953898
900b33b1-7f71-4ec0-9b93-8e661bd9b9b1,545eece9-d0c2-45f7-9a34-d862d9957791,44a8bf00-54c9-4239-8a7e-d406f4007cbb,40.75,Delivered,2024-05-28 17:12:11.665446
ef9d9328-7f06-4a53-9c2e-fff39b2c60d0,bf04f9fb-7bb5-4d68-8730-579f7a2f8799,f222f904-0262-4036-b3dd-48297bdd8ca8,50.53,Pending,2024-04-11 03:32:35.040411
c84240a0-994b-4f9f-8fae-5c8dbec92588,c75508bd-3fa0-44f1-9db2-6ac2ad52bc1b,6c652e39-ac53-4ea6-9dda-94d0b9f545e4,11.55,Delivered,2024-04-02 20:05:21.446029
de1f1bb4-3234-45bd-ab84-d8f1833e1fae,8f423864-a56c-46d0-8d91-7f8cd9f7c144,a7410066-9ba9-44b4-8ee7-7b9e17858198,9.96,Shipped,2024-05-09 15:22:58.527527
d0dc81f0-c89c-460a-a475-aa7f2a9d5ef2,ddf3dade-01b3-4bbc-a67f-adeaac21231b,b3e6a3a1-7296-4dbe-8bbe-8d92f52d7886,67.76,Pending,2024-06-08 21:24:38.356902
f09f23eb-3e92-4797-9ede-8e534e6ed7ac,eb4e990e-f58b-404a-9f79-78e622bd4200,73f7cc1f-879c-4794-a310-9f3e5fbb3de2,28.58,Shipped,2024-06-05 15:01:21.109941
fb82a593-dbd2-4387-b197-e1bf1c93cf42,3a411da7-03e2-46f8-aaf4-924b044d952b,64591236-244a-485c-a861-bbb19de8a03f,72.02,Delivered,2024-03-26 02:43:22.852741
0ccf2fdc-fe94-49ac-bb6c-97bbb5600a17,255fcbc8-4a5e-45ce-9ba8-8614e93e3212,9788beb8-4bcf-487a-81b3-e048c2ee6216,59.0,Shipped,2024-05-22 03:07:18.762365
534b9ca3-c6a8-4b8e-99dd-1ddd864ac172,c68e2795-b8e4-4a55-a073-a5bfedab3984,383854fc-75ae-4b7d-8e7f-9dcc164f2775,22.25,Delivered,2024-01-18 02:40:14.800422
fa09fbe7-4ce1-4729-80c3-d04148edc1c6,1142442c-0f11-4bc6-a57a-a5f372130313,47faba99-0c8a-4fe0-911a-3650d4aab8ab,98.98,Pending,2024-01-05 14:18:10.164734
1d871eb4-9d8d-48f0-9505-73af759cfdd0,f2d6bd6c-fa68-4044-b3c8-2fff72e7224b,49098f89-28b9-414b-8a92-8b6cdd81376a,66.24,Shipped,2024-01-10 17:34:30.754901
5e42f296-026c-4379-b01e-b96e6411d03c,279da8e9-68c3-4228-8bff-af414cbeab9f,699374a8-b6c9-4fab-b8cb-31cf26b7aa2d,28.27,Delivered,2024-05-11 10:19:15.475213
e7b33333-81b2-43e5-9fe5-047e99d083a4,4965fa94-8f0a-4b7c-9554-a1e09f6678ff,e9a63045-e101-444c-a374-aa53fe5b3cca,56.14,Shipped,2024-03-27 06:33:18.875949
140df824-ba78-462b-9ae9-e20e3333de9d,2c93a11e-30da-41e7-b79d-7743748aecee,12156257-f0e6-4598-bcc6-0ef194255eea,50.14,Delivered,2024-03-07 19:37:50.840043
4e13c30b-8ffe-430a-b6d0-67dfbb4f8573,559209c3-84f0-4b25-b734-915429bc712a,2b23a4b5-a26b-4934-9f2f-72ed98664637,36.16,Delivered,2024-01-30 07:53:23.152767
dfad4a86-45d5-453e-950a-88e6a1301d80,304abf34-2870-49fe-a9cd-a967e4ccd53d,05943afc-d789-4c40-b24e-ea5771c47f6d,7.91,Pending,2024-02-25 13:28:20.267501
17883694-8e67-4860-a224-a7a05c04d161,369eb860-90e3-404a-a9cb-649f3a48d46e,ef209ab5-5443-4496-8669-8021d28b8885,59.99,Delivered,2024-06-03 04:13:45.825931
0503aa27-2e2a-4f50-ab2e-117c997495d6,286830c0-64fa-4982-a5e3-1d954a733b20,0bbc8fdc-f7e4-4e0d-856b-9d60478708f7,28.58,Pending,2024-02-18 13:37:27.813415
8eb25435-85d2-48d3-94e1-dca33a072bf9,4ca513bf-e114-41ff-97b3-2c02d43007f0,74897423-f826-4799-8940-0fecee5ba2be,68.27,Shipped,2024-01-13 21:50:51.994645
db6a87c1-3190-4e7d-906c-210f82343cc3,af8c8c6d-c653-4295-ac4d-ab46e05e048e,ee5c8ee1-8c69-402b-a346-8bed72b32370,82.11,Pending,2024-05-31 03:28:57.462260
546572e9-93b6-430d-84ee-033868f9cac1,d49c2b35-77cd-44e6-840a-99c1ed5d9016,1ba9f249-accd-41b5-9e4a-a35cf5f06b6a,4.65,Delivered,2024-04-27 13:20:51.633035
fa4dde8d-1244-4eea-98d8-931dde655e9c,c77ff27d-52e9-49d5-b11b-4ed5cc500e3e,e45e760b-df1b-4038-b96e-ec0abb3f5674,99.26,Delivered,2024-01-18 02:59:52.358745
2df0f799-fc8f-4f13-a460-6e6a0475d851,2b3d81b0-755b-42d0-bbd3-782e195868ac,6b940c86-de68-44a3-b719-b7117ab705de,51.03,Delivered,2024-06-17 06:50:54.423944
6f36db98-6542-4c50-b792-0653ee9dd36c,c8916a26-3f6e-4518-b5f7-9a9fd2701570,5db605de-54d5-45d0-8f83-8865ac9e0d9d,33.46,Shipped,2024-04-10 20:06:57.414532
1af6d9a0-522a-478b-a7ab-c25cf8145420,e0f0eed7-6dcb-4308-9b54-3f9bfc4a31a7,3f6f7d99-149d-46f3-8852-6fc4a28b18d6,71.99,Shipped,2024-03-01 01:43:21.410282
2a7b1d15-4eb4-4fa0-98e9-b20d10f12144,395c1dd3-5f9e-495c-9508-457db948d8df,b60dc34c-eb5c-4465-a0e3-c49035a2f1f6,81.11,Shipped,2024-01-24 11:43:25.403305
dc1e1219-12ad-434c-a2e9-af9f9573ce42,31352652-a019-4ed7-b8f4-770fad57824e,0f59834f-38c4-4102-880d-72d15373d77d,51.95,Delivered,2024-05-05 20:41:01.955419
73f72273-eec6-4232-ae98-f9433ad86fe0,662f6042-5a1c-4155-afa6-c17284d0ac0f,926134af-a282-44f5-ae24-22731d8731c0,25.33,Shipped,2024-01-15 21:56:18.685796
f6678c50-44b5-4e93-9f42-528113f7173d,483d84fd-7034-46a9-9f61-8882b2cd7f12,c961a6f3-2e8c-4782-9b43-8c978f75afbb,74.79,Shipped,2024-06-22 12:03:49.806667
a400bb84-9ba1-4a83-8608-6bbd914d3df2,5a37006d-3f5e-4bb2-85e7-fe2bebf92871,ffd716e4-3997-48a2-bcab-d9ca43b96fb5,97.51,Shipped,2024-03-22 07:55:04.084308
e9ee49af-f16d-4724-94bb-54d11d7ccb1e,5550bab8-75ec-492b-a2f6-631459131c24,dae0b086-5185-4403-8d5e-2ec042011696,29.83,Pending,2024-05-12 01:47:50.234086
521b05cd-4a01-4110-b7f6-f1d26fc1b01b,e150e420-c06d-4a81-babc-2c44028e4614,e45f29b3-4754-4158-b848-e5c1ac74c319,74.9,Pending,2024-03-07 09:26:34.647392
ccc44ebb-07d3-4d71-91c6-22c52bba1ca0,00860b6c-6b06-4694-8708-f7aa4375d5e4,cc85db23-9f26-48cd-8ab0-38a4371a6d49,99.77,Delivered,2024-04-13 20:44:51.663127
ec3eefe2-d706-476a-93d8-6e5bc796bf16,1878a88d-da68-4736-8001-c78fb2017b54,19f80786-661b-491e-9d4d-c106a4df7b0e,81.65,Pending,2024-05-02 11:53:52.385710
ee49dff1-1621-4225-a913-57a30aae2be4,627e7ff4-7fd4-4796-8eb3-c6a5f07eff26,b967d762-c92b-45e8-be29-3f6e3947d6b2,5.09,Delivered,2024-04-25 00:45:11.784698
3ef3783e-0c03-470d-9e91-5a2591a2f7ce,bde5c4eb-fae8-4183-a9d9-641a707c671b,9d543156-d565-41c2-b882-fcc13f56cb6d,76.95,Delivered,2024-01-24 23:05:04.542237
bf87b084-db37-4064-8f6b-c32ed6566470,cd0825b2-42ac-44ca-8e77-31f5d1052bac,5db8d8ba-61e1-4fb7-868f-38a69620d36b,44.47,Shipped,2024-01-17 02:45:59.588224
6a6ef966-7a1b-48fb-a415-c0c57b3ebb03,c6a81fdf-0ade-4d55-9374-880ff5fc0a99,7d4e9a82-6241-4b1c-89b1-56ccddb7aaee,20.64,Shipped,2024-05-22 06:45:45.353173
36272a04-8e1d-47ee-933a-9b54bfb0500d,bb1f8170-9ee0-44be-be2b-1ecc4a8f6143,c35d31d3-373d-41d3-86f8-052898a89a4e,25.26,Shipped,2024-05-12 22:17:14.309182
91aed546-f6ef-4367-8b1d-e272dd168030,9a3faf13-f163-4c1b-9598-76c222cc3654,5da77ae1-5aec-415b-a32d-a5ea3a0a8180,83.05,Shipped,2024-06-24 11:42:43.876365
d1f89928-f7de-4ad5-81f0-1860a4e5c953,c9bac41f-7f37-4933-8db2-f24554abc377,f515c735-0f69-4834-a9e3-d1fab84fcc81,63.45,Pending,2024-03-24 00:38:47.934213
18f15639-ae7c-40c7-a180-4cd5b1b0260d,16bd3583-07cd-453e-b4c5-50b2ce3c1823,a46ad0a9-9f00-4e4a-92c2-5685786de3cc,33.87,Delivered,2024-01-04 12:03:00.262000
fb5ec1aa-433a-4d12-85f3-a91822e6caf3,01ae2353-d4b0-4d78-aed1-8601b1dd35e3,87de697e-e78d-45b9-a089-24b740e74831,22.43,Shipped,2024-05-04 17:59:51.726799
45a82753-d560-4cb3-86e5-95d000a32a64,92787bc0-d29d-4b99-931e-c89c7264bfa4,c7ba5802-ae48-4931-9aa4-8fc87143928c,33.61,Pending,2024-06-08 03:29:36.275276
