order_id,customer_id,status,order_timestamp,total_amount
d02cdb84-46d3-45d5-ac38-05f203d109c1,feea5f6d-b82f-4094-80e4-f4d84509b604,Cancelled,2024-05-10 16:35:24.849445,998.98
3a96cef5-9754-49e8-9362-d96959da4e0d,7d9786d1-c28e-4108-9648-794f16597d7b,Pending,2024-03-22 09:08:02.387743,610.44
87638de3-ff61-4378-8361-4504e1818d29,11e06751-8a1c-4a48-ad61-99368d5d65c8,Pending,2024-04-24 18:44:39.186820,93.39
09beb869-ac37-4fb3-9038-9d1631575213,392748df-0efc-49c1-a662-1aacd6e35eec,Pending,2024-03-14 14:05:39.802309,550.01
04e7472e-c98b-48db-950f-abca7b53660b,8c73c08c-673c-48a1-b920-18fe2136f6ae,Cancelled,2024-02-03 13:09:39.946662,886.28
286830c0-64fa-4982-a5e3-1d954a733b20,35180ac7-ded3-4b6e-bf40-a9803caa3754,Pending,2024-05-18 19:30:51.607198,517.41
25abd4af-9a9e-43e4-86e8-b11fb2a2b89a,2723760c-709e-46e6-81bc-6a54c6136c1a,Cancelled,2024-06-18 04:45:14.221255,663.01
bc720236-02e0-45aa-81e3-fcdb0db60e36,9ec18ccf-bd52-446a-b9ea-1992a734ac0e,Cancelled,2024-01-23 21:06:53.943748,690.78
81665598-767a-47f2-850b-2199e7cbf93f,d4118126-5e18-44c8-9900-80ca8b83b46a,Pending,2024-04-08 03:14:28.290366,46.24
6f66ea4b-6b91-43a9-b070-0391af094436,42250a25-655a-45bf-88af-db64b96ad7d1,Completed,2024-05-01 07:07:52.562597,889.21
178f411d-84e5-4d1d-8e02-b4bc22a92902,7ee16db4-cb15-41d6-98fd-51a1061903ee,Cancelled,2024-04-14 04:58:51.149309,164.55
aeefd371-80c1-4892-aebb-f3b6a435d70d,ebcd76eb-b3f7-4171-ac92-baacfc2cf050,Cancelled,2024-01-22 04:58:15.961673,71.33
dc9e76ee-0124-4c64-b5d8-2cd4c7a2b7db,5a73cf35-0171-42b8-88d9-c08e3c2c9ebf,Cancelled,2024-01-17 01:53:32.037607,47.92
d4ecfb0c-cec9-4f82-a833-7686a26fba7d,08580e35-3d06-43b7-983c-eae5afbc0495,Completed,2024-06-16 09:05:14.926456,984.55
bf701176-a4fa-48a7-a263-7ca0c5822b2d,2571f8eb-edfd-408e-9db4-f97cb957ccf4,Completed,2024-02-21 19:20:43.107040,288.12
2c101a68-526d-4b31-9fee-682400a0e0ad,cfdd46a2-57f1-43b5-90a1-59ce86b4bc5b,Completed,2024-04-16 08:39:12.151040,587.65
0da429b3-0028-4115-b2ab-9c7104516ff9,36b66ae1-99f6-425b-a32c-d136015fd83f,Cancelled,2024-03-08 13:26:33.607722,784.82
87f043b0-d17e-47ab-9d5a-e7a0433a88b3,342af3b3-399f-4833-a215-1c813d06144d,Cancelled,2024-05-30 03:42:40.280129,516.55
44229bb9-4e83-4ed1-9f5e-09e87c09b95d,5accfcf3-e2c6-48d2-8c8a-8393f175ef6a,Cancelled,2024-05-13 05:41:24.427725,324.31
badaf13c-9230-428e-a24c-b73afe472b6c,f33d28a3-2d9f-429a-a0fe-479c40b59e3c,Cancelled,2024-05-23 21:32:16.665529,414.57
55b215a1-e817-4fe5-9d9b-366b6a609a8e,3287d5f6-83c0-4ccd-b70e-90f5fa2b0ad5,Pending,2024-04-01 14:51:02.382902,597.33
7f4c7034-4316-4a36-bd59-f3029644524b,42898570-b3dc-4c65-afb4-937b84b384fa,Completed,2024-04-19 07:33:24.536213,321.17
