product_id,name,supplier_id,category,price,stock_avaialable,status,product_createtimestamp
3c6f567b-9595-44a1-a421-3fab8db7e3a3,talk,2004d50c-047f-4b83-89ff-c5ab5a49260b,different,365.12,4,Active,2024-05-09 23:48:32.227961
426c868a-883c-4d88-b58c-f4d5f176662f,letter,063f7075-f3c0-4408-8410-e1e955f7aff5,write,261.58,514,InActive,2024-05-08 20:45:23.917191
51883d44-1778-465b-b734-b3e109a9ce0c,decade,54a4ddca-f621-418d-9033-755f40ab5300,decision,318.73,145,Out of Stock,2024-01-27 13:55:46.682588
2c563c3a-10b0-4b40-85b0-d0b207e3282b,major,5a87e32a-59bd-4a4d-8b3c-34122da4a0ba,believe,108.28,293,Active,2024-02-26 03:47:03.752016
e8bd5aec-920c-4944-8d84-0d25ac46590a,various,0f8e1204-4772-41f7-96e5-debdcad5398b,speech,194.23,784,InActive,2024-06-06 23:16:01.860661
f7553e7d-d320-451c-a48d-07539c446b9f,security,46d790af-c06c-45e8-aaa8-74ce68ee3799,trouble,338.33,427,Out of Stock,2024-01-26 08:40:55.720253
a4f06e08-7981-45e4-b3f8-d5804fcc24ac,cost,41c38ba2-d77c-4fc6-b57c-1c01401c2afe,rest,284.6,302,Out of Stock,2024-05-28 21:19:18.554114
a4b17b83-b986-40d8-b761-f313f4ebd25d,we,cb02444f-0889-426e-ac49-6d20e2f381cf,defense,255.13,452,InActive,2024-01-10 20:47:54.488845
85052d3c-cdea-4db2-b815-ae1aa7e9cc57,themselves,4dde0f6d-c25d-4245-82c8-137efad4fcaa,statement,425.0,735,Out of Stock,2024-06-13 09:07:39.055192
be5de2bd-1e9b-4d63-8806-bfbcca6619d8,husband,204b7326-9b23-42c7-9d16-ff29b9553da9,develop,39.89,976,Active,2024-05-31 10:59:40.167692
af02ea87-b99d-4485-9224-9c3f09c05649,relationship,c126fc37-8361-4e15-ad2e-10f501db144c,market,406.85,463,Active,2024-02-24 20:57:15.703608
c16a18d9-8a92-431a-8df2-c69b56c81828,field,afd62be2-2e58-4cb8-8a31-225084a3e1eb,understand,213.69,172,Out of Stock,2024-06-01 09:56:08.257819
2dcd4d73-4dcf-4d8f-b112-c22c6974bf35,too,3c6bdc69-f1a4-4a51-afd1-5d8886b2e683,deep,223.39,843,Active,2024-02-13 17:13:31.601136
1cfdcc35-a6e1-435e-881d-e0cc2bf04145,talk,52ab090d-0069-4c83-9b32-017fb026f77d,third,134.35,846,Active,2024-05-30 19:56:52.502331
72af327b-bcc4-431b-ac1c-e6bedad185c9,family,adf3a49c-800a-48c4-98bd-ae7f2066d07e,system,248.07,293,Out of Stock,2024-05-17 13:37:22.017510
e45e760b-df1b-4038-b96e-ec0abb3f5674,voice,79647342-0092-49da-8c8d-f4db8084e789,raise,137.63,719,InActive,2024-02-02 03:11:27.677856
3662bcbf-171c-40c5-8d50-543a1af2e9d5,place,e83ad130-7781-458f-ab21-707b7f85cabb,talk,327.95,703,InActive,2024-03-23 12:57:14.169250
01f7c6ae-b37a-4925-bfa2-0c3899a15a49,voice,4db19673-9623-4583-92d0-b52bac578761,wife,311.98,160,InActive,2024-01-24 14:17:18.558503
71f7cb18-b25e-42b8-adfd-88f458d19999,take,03c3ba1b-13a6-43ab-9348-ec4c445de459,really,274.87,516,Out of Stock,2024-02-26 11:00:12.935248
